FZ,RL
1104.41,186.1
1103.06,186.20000000000002
1096.5,186.1
1092.31,186.20000000000002
1090.92,186.20000000000002
1089.63,186.20000000000002
1088.4,186.1
1092.01,186.1
1094.96,186.20000000000002
1098.93,186.20000000000002
1102.09,186.1
1104.59,186.20000000000002
1103.37,186.1
1099.04,186.20000000000002
1096.05,186.1
1089.48,186.1
1092.7,186.20000000000002
1088.05,186.1
1091.73,186.1
1092.5,186.20000000000002
1097.03,186.1
1099.99,186.1
1102.38,186.1
1106.45,186.1
1102.41,186.1
1096.81,186.1
1094.11,186.20000000000002
1087.61,186.1
1087.7,186.1
1088.57,186.1
1089.19,186.1
1093.03,186.1
1102.13,186.20000000000002
1103.23,186.20000000000002
1104.88,186.20000000000002
1100.6,186.1
1095.82,186.20000000000002
1089.38,186.20000000000002
1085.95,186.1
1084.49,186.1
1087.0,186.1
1089.46,186.1
1093.07,186.1
1100.09,186.1
1102.55,186.20000000000002
1102.98,186.1
1101.12,186.1
1097.29,186.1
1091.16,186.1
1086.07,186.1
1085.75,186.20000000000002
1086.23,186.1
1089.8,186.1
1092.27,186.20000000000002
1099.39,186.1
1101.78,186.1
1107.23,186.1
1105.58,186.1
1101.43,186.1
1097.28,186.1
1089.91,186.1
1090.5,186.20000000000002
1089.34,186.1
1092.86,186.20000000000002
1094.78,186.1
1097.2,186.1
1106.1,186.1
1107.36,186.1
1107.31,186.1
1102.42,186.1
1097.41,186.1
1092.05,186.1
1092.38,186.20000000000002
1093.95,186.1
1094.88,186.1
1100.51,186.1
1104.02,186.20000000000002
1110.46,186.1
1113.8,186.1
1114.79,186.1
1111.36,186.1
1105.42,186.20000000000002
1100.44,186.1
1100.32,186.1
1099.79,186.20000000000002
1103.97,186.0
1106.73,186.1
1111.23,186.1
1116.72,186.1
1118.61,186.1
1120.68,186.1
1118.59,186.1
1114.88,186.1
1110.34,186.1
1108.99,186.1
1110.0,186.1
1109.21,186.1
1114.6,186.1
1115.02,186.20000000000002
1122.69,186.20000000000002
1127.34,186.1
1133.31,186.20000000000002
1130.21,186.1
1126.39,186.20000000000002
1123.61,186.1
1118.2,186.20000000000002
1116.16,186.20000000000002
1119.1,186.20000000000002
1118.63,186.1
1124.84,186.1
1130.33,186.1
1136.37,186.20000000000002
1142.53,186.20000000000002
1142.38,186.20000000000002
1141.02,186.20000000000002
1132.22,186.20000000000002
1127.34,186.20000000000002
1123.48,186.20000000000002
1123.92,186.29999999999998
1126.68,186.29999999999998
1131.89,186.4
1137.26,186.29999999999998
1145.01,186.29999999999998
1150.69,186.29999999999998
1152.03,186.4
1148.52,186.4
1142.18,186.5
1135.65,186.5
1133.63,186.4
1132.51,186.5
1132.66,186.5
1137.82,186.5
1144.87,186.5
1152.05,186.6
1157.46,186.6
1158.05,186.6
1157.69,186.6
1151.64,186.6
1143.96,186.70000000000002
1139.78,186.70000000000002
1139.66,186.70000000000002
1140.68,186.8
1145.57,186.8
1149.17,186.8
1161.03,186.8
1166.08,186.9
1171.96,186.9
1168.26,186.9
1160.32,187.0
1151.13,187.0
1142.97,187.0
1138.65,187.10000000000002
1140.85,187.10000000000002
1143.98,187.10000000000002
1150.32,187.2
1161.06,187.10000000000002
1167.61,187.2
1172.7,187.2
1172.91,187.2
1166.65,187.3
1154.03,187.2
1147.44,187.3
1142.27,187.3
1139.31,187.39999999999998
1142.51,187.39999999999998
1146.4,187.5
1158.36,187.39999999999998
1169.19,187.5
1176.89,187.5
1178.08,187.60000000000002
1171.5,187.60000000000002
1160.24,187.60000000000002
1151.02,187.7
1144.0,187.7
1139.86,187.7
1138.88,187.8
1146.75,187.8
1156.01,187.8
1169.28,187.8
1178.08,187.8
1178.41,187.89999999999998
1174.79,187.89999999999998
1164.66,187.89999999999998
1154.16,188.0
1146.4,188.0
1138.55,188.1
1138.51,188.1
1142.92,188.1
1151.41,188.2
1164.85,188.1
1178.82,188.2
1184.62,188.29999999999998
1180.74,188.29999999999998
1168.46,188.29999999999998
1156.29,188.29999999999998
1141.89,188.4
1137.89,188.4
1135.9,188.4
1140.92,188.5
1150.7,188.5
1163.91,188.5
1178.51,188.6
1184.67,188.6
1179.65,188.6
1170.45,188.70000000000002
1159.09,188.70000000000002
1146.58,188.70000000000002
1139.19,188.79999999999998
1132.72,188.79999999999998
1138.85,188.9
1150.68,188.9
1163.21,188.9
1175.18,188.9
1190.39,188.9
1186.83,188.9
1176.5,189.0
1167.31,189.1
1153.26,189.20000000000002
1142.21,189.20000000000002
1137.5,189.20000000000002
1139.6,189.3
1151.93,189.3
1162.82,189.3
1181.21,189.4
1192.81,189.4
1195.43,189.4
1187.24,189.4
1176.69,189.4
1159.36,189.5
1147.55,189.60000000000002
1140.17,189.60000000000002
1140.09,189.7
1146.98,189.7
1159.4,189.7
1175.02,189.8
1188.23,189.8
1191.33,189.8
1187.34,189.89999999999998
1175.46,189.89999999999998
1163.15,190.0
1149.92,190.0
1138.84,190.0
1137.78,190.10000000000002
1142.46,190.2
1155.77,190.10000000000002
1171.75,190.2
1187.22,190.2
1195.9,190.2
1192.84,190.3
1179.12,190.3
1163.65,190.3
1146.94,190.39999999999998
1137.28,190.39999999999998
1133.87,190.5
1136.29,190.5
1148.05,190.6
1165.19,190.6
1181.63,190.5
1191.67,190.6
1187.04,190.7
1176.11,190.6
1159.98,190.79999999999998
1142.8,190.79999999999998
1130.83,190.79999999999998
1125.45,190.9
1129.23,191.0
1140.94,190.9
1153.25,190.9
1167.72,191.0
1180.61,191.0
1179.82,191.0
1172.4,191.0
1157.41,191.0
1139.36,191.1
1128.16,191.20000000000002
1119.24,191.20000000000002
1119.79,191.20000000000002
1126.06,191.20000000000002
1139.73,191.29999999999998
1158.33,191.29999999999998
1168.83,191.29999999999998
1173.11,191.29999999999998
1162.09,191.29999999999998
1148.45,191.4
1130.93,191.4
1119.52,191.4
1113.37,191.4
1114.45,191.5
1117.24,191.5
1130.7,191.5
1144.04,191.5
1155.13,191.5
1159.75,191.6
1139.54,192.0
1124.26,192.0
1114.08,192.0
1106.91,192.10000000000002
1110.97,192.10000000000002
1116.64,192.10000000000002
1127.6,192.2
1139.43,192.10000000000002
1150.93,192.10000000000002
1154.98,192.10000000000002
1149.19,192.2
1136.09,192.10000000000002
1120.8,192.2
1108.92,192.2
1103.84,192.2
1104.18,192.2
1111.77,192.2
1119.94,192.3
1133.23,192.2
1144.31,192.3
1152.96,192.2
1146.91,192.3
1136.25,192.39999999999998
1121.34,192.3
1111.43,192.3
1102.65,192.3
1100.82,192.3
1104.52,192.39999999999998
1111.45,192.3
1122.83,192.39999999999998
1132.12,192.39999999999998
1139.43,192.39999999999998
1135.79,192.39999999999998
1128.14,192.39999999999998
1114.44,192.39999999999998
1101.37,192.39999999999998
1092.85,192.5
1091.06,192.39999999999998
1092.04,192.39999999999998
1100.05,192.39999999999998
1108.6,192.5
1117.94,192.5
1123.39,192.5
1123.69,192.3
1114.92,192.5
1104.06,192.39999999999998
1088.67,192.5
1081.21,192.39999999999998
1077.23,192.5
1079.35,192.39999999999998
1084.41,192.39999999999998
1094.95,192.5
1101.54,192.39999999999998
1110.76,192.5
1112.31,192.39999999999998
1104.52,192.5
1092.17,192.5
1079.93,192.39999999999998
1069.21,192.5
1066.39,192.39999999999998
1069.14,192.39999999999998
1071.85,192.5
1080.51,192.39999999999998
1088.12,192.5
1093.07,192.39999999999998
1095.23,192.5
1088.2,192.5
1075.67,192.39999999999998
1060.96,192.5
1051.91,192.5
1044.94,192.39999999999998
1045.1,192.39999999999998
1049.82,192.5
1057.55,192.39999999999998
1065.78,192.39999999999998
1073.82,192.39999999999998
1080.7,192.3
1077.28,192.3
1069.22,192.3
1058.48,192.2
